خونه,خانه
بونه,بهانه
بهونه,بهانه
شونه,شانه
لونه,لانه
آشیونه,آشیانه
پنهون,پنهان
خندون,خندان
تهرون,تهران
شمرون,شمران
طهرون,تهران
حیرون,حیران
حیون,حیوان
حیوون,حیوان
کاشون,کاشان
پریشون,پریشان
کرمون,کرمان
گریون,گریان
گلدون,گلدان
گمون,گمان
هذیون,هذیان
قلیون,قلیان
ریزون,ریزان
چمدون,چمدان
آسمون,آسمان
ریسمون,ریسمان
پهلوون,پهلوان
پهلون,پهلوان
جون,جان
جوون,جوان
نوجوون,نوجوان
بوم,بام
پشتبوم,پشت‌بام
حموم,حمام
آویزون,آویزان
اویزون,آویزان
نون,نان
درمون,درمان
چسبون,چسبان
بادمجون,بادمجان
جنبون,جنبان
دونه,دانه
نشون,نشان
مهربون,مهربان
داغون,داغان
ویرون,ویران
ویرونه,ویرانه
خانوم,خانم
تموم,تمام
ناتموم,ناتمام
سولاخ,سوراخ
اگه,اگر
آخه,آخر
درخشون,درخشان
پرسون,پرسان
گردون,گردان
چرخون,چرخان
دندون,دندان
زمونه,زمانه
دهن,دهان
مثلن,مثلا
عملن,عملا
رسمن,رسما
شرعن,شرعا
مخصوصن,مخصوصا
نسبتن,نسبتا
کلن,کلا
دقیقن,دقیقا
ذاتن,ذاتا
شدیدن,شدیدا
قطعن,قطعا
ابدن,ابدا
اولن,اولا
دومن,دوما
سومن,سوما
بعدن,بعدا
آروم,آرام
ارزون,ارزان
چقد,چقدر
ایرون,ایران
بارون,باران
تومن,تومان
تکون,تکان
مردونه,مردانه
دخترونه,دخترانه
پسرونه,پسرانه
زنونه,زنانه
دردونه,دردانه
زمستون,زمستان
تابستون,تابستان
مهمون,مهمان
مهمونی,مهمانی
چمدون,چمدان
نردبون,نردبان
کارخونه,کارخانه
صابخونه,صاحب‌خانه
کتابخونه,کتابخانه
قهوه خونه,قهوه‌خانه
مهمون خونه,مهمان‌خانه
یه,یک
یهو,یکباره
ینواخت,یکنواخت
شیطون,شیطان
والا,والله
چونه,چانه
گشنه,گرسنه
کوچیک,کوچک
نشونی,نشانی
تهرونی,تهرانی
ایرونی,ایرانی
حروم,حرام
هندونه,هندوانه
اونقدی,آنقدری
انقدی,آنقدری
انقد,آنقدر
اونقد,آنقدر
اونقدر,آنقدر
انقدر,آنقدر
جونور,جانوار
مثه,مثل
ارزون,ارزان
تکون,تکان
حدودن,حدودا
دووم,دوام
زبون,زبان
نون,نان
خونگی,خانگی
ینی,یعنی
کمون,کمان
کمونه,کمانه
زبون,زبان
زبونه,زبانه
آتیش,آتش
شیش,شش
پونصد,پانصد
زعفرون,زعفران
شونصد,ششصد
پونزده,پانزده
شونزده,شانزده
کفتر,کبوتر
دون,دانه
دونه,دانه
نادون,نادان
خزون,خزان
نمکدون,نمکدان
قندون,قندان
فسنجون,فسنجان
رودخونه,رودخانه
زورخونه,زورخانه
کارخونه,کارخانه
افشون,افشان
ایمون,ایمان
بادوم,بادام
تابون,تابان
تمبون,تمبان
تنبون,تنبان
کهکشون,کهکشان
یخ‌بندون,یخ‌بندان
یخبندون,یخ‌بندان
گوسفندچرون,گوسفندچران
ابروکمون,ابروکمان
اشک‌ریزون,اشک‌ریزان
اصفاهان,اصفهان
اصفهون,اصفهان
اصفهونی,اصفهانی
عقدکنون,عقدکنان
بیابون,بیابان
خیابون,خیابان
میدون,میدان
گرون,گران
عاره,آره
خونه‌تکونی,خانه‌تکانی
خونه‌دار,خانه‌دار
خونه‌نشین,خانه‌نشین
سفره‌خونه,سفره‌خانه
مکتب‌خونه,مکتب‌خانه
هم‌خونه,هم‌خانه
همخونه,هم‌خانه
چای‌خونه,چای‌خانه
چایخونه,چای‌خانه
یتیم‌خونه,یتیم‌خانه
بالاخونه,بالاخانه
سربازخونه,سربازخانه
زورخونه,زورخانه
سقاخونه,سقاخانه
گلخونه,گلخانه
پیشخون,پیشخوان
خروس‌خون,خروس‌خوان
خروسخون,خروس‌خوان
زندونی,زندانی
سگدونی,سگدانی
نوندونی,ناندانی
نادونی,نادانی
اعیونی,اعیانی
پیشونی,پیشانی
سلمونی,سلمانی
اوستا,استاد
