year,AWI,percent
1951, 2799.16 ,—  
1952, 2973.32 ,6.22
1953, 3139.44 ,5.59
1954, 3155.64 ,0.52
1955, 3301.44 ,4.62
1956, 3532.36 ,6.99
1957, 3641.72 ,3.10
1958, 3673.80 ,0.88
1959, 3855.80 ,4.95
1960, 4007.12 ,3.92
1961, 4086.76 ,1.99
1962, 4291.40 ,5.01
1963, 4396.64 ,2.45
1964, 4576.32 ,4.09
1965, 4658.72 ,1.80
1966, 4938.36 ,6.00
1967, 5213.44 ,5.57
1968, 5571.76 ,6.87
1969, 5893.76 ,5.78
1970, 6186.24 ,4.96
1971, 6497.08 ,5.02
1972, 7133.80 ,9.80
1973, 7580.16 ,6.26
1974, 8030.76 ,5.94
1975, 8630.92 ,7.47
1976, 9226.48 ,6.90
1977, 9779.44 ,5.99
1978, 10556.03 ,7.94
1979, 11479.46 ,8.75
1980, 12513.46 ,9.01
1981, 13773.10 ,10.07
1982, 14531.34 ,5.51
1983, 15239.24 ,4.87
1984, 16135.07 ,5.88
1985, 16822.51 ,4.26
1986, 17321.82 ,2.97
1987, 18426.51 ,6.38
1988, 19334.04 ,4.93
1989, 20099.55 ,3.96
1990, 21027.98 ,4.62
1991, 21811.60 ,3.73
1992, 22935.42 ,5.15
1993, 23132.67 ,0.86
1994, 23753.53 ,2.68
1995, 24705.66 ,4.01
1996, 25913.90 ,4.89
1997, 27426.00 ,5.84
1998, 28861.44 ,5.23
1999, 30469.84 ,5.57
2000, 32154.82 ,5.53
2001, 32921.92 ,2.39
2002, 33252.09 ,1.00
2003, 34064.95 ,2.44
2004, 35648.55 ,4.65
2005, 36952.94 ,3.66
2006, 38651.41 ,4.60
2007, 40405.48 ,4.54
2008, 41334.97 ,2.30
2009, 40711.61 ,-1.51
2010, 41673.83 ,2.36
2011, 42979.61 ,3.13
2012, 44321.67 ,3.12
2013, 44888.16 ,1.28
2014, 46481.52 ,3.55
2015, 48098.63 ,3.48
2016, 48642.15 ,1.13
2017, 50321.89 ,3.45
2018, 52145.80 ,3.62
2019, 54099.99 ,3.75
2020, 55628.60 ,2.83
2021, 60575.07 ,8.89
2022, 63795.13 ,5.32
2023, 66621.80 ,4.43
2024, 69846.57 ,4.84
