UID	Sample	Session	d45	d46	d47	d48	d49
1	BAZ-3	Session_01	-5.394955	7.938127	1.887702	15.671857	9.739724
2	ETH-1	Session_01	6.050787	10.800497	16.232192	21.429453	27.780042
3	ETH-3	Session_01	5.726647	11.144602	16.634507	22.275401	28.306614
4	ETH-1	Session_01	6.009875	10.711152	16.087994	21.275325	27.780042
5	FOO-1	Session_01	-0.848380	2.872996	1.535960	5.431873	4.665655
6	ETH-2	Session_01	-5.973121	-5.894178	-12.599303	-12.037594	-18.023381
7	BAR-2	Session_01	-9.941731	10.985508	0.208381	21.832546	10.707292
8	ETH-3	Session_01	5.755765	11.179326	16.689870	22.294132	28.306614
9	ETH-2	Session_01	-5.981599	-6.011356	-12.728742	-12.335559	-18.023381
10	ETH-2	Session_01	-5.991066	-5.968789	-12.685206	-12.219412	-18.023381
11	ETH-3	Session_01	5.734551	11.043266	16.556578	22.005474	28.306614
12	ETH-1	Session_01	5.994522	10.810755	16.181039	21.445703	27.780042
13	ETH-2	Session_02	-5.993596	-6.086738	-12.816033	-12.452397	-18.023381
14	ETH-3	Session_02	5.720443	11.187928	16.689130	22.308575	28.306614
15	ETH-1	Session_02	6.019913	10.773652	16.165645	21.309536	27.780042
16	ETH-1	Session_02	5.995178	10.702934	16.073811	21.169324	27.780042
17	BAR-2	Session_02	-9.951732	10.964153	0.171443	21.779172	10.707292
18	FOO-1	Session_02	-0.835316	2.868058	1.539147	5.483628	4.665655
19	ETH-2	Session_02	-5.952660	-5.887239	-12.582248	-12.081588	-18.023381
20	ETH-2	Session_02	-5.983050	-5.953794	-12.679809	-12.224144	-18.023381
21	ETH-3	Session_02	5.717666	11.175023	16.654427	22.251497	28.306614
22	ETH-3	Session_02	5.756394	11.109906	16.635806	22.189179	28.306614
23	ETH-1	Session_02	6.029949	10.682183	16.080186	21.182471	27.780042
24	BAZ-3	Session_02	-5.337619	7.818571	1.818572	15.400966	9.739724
