Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,99,2.02,36.98,0.2052,,,0.0377,
ETH-2,99,-10.17,19.89,0.2085,,,0.0308,
ETH-3,115,1.71,37.48,0.6132,,,0.0366,
ETH-4,102,-10.13,19.90,0.4511,,,0.0609,
IAEA-C1,18,2.46,36.93,0.3018,,,0.0557,
IAEA-C2,19,-7.58,30.10,0.6409,,,0.0744,
MERCK,18,-42.23,23.04,0.5135,,,0.0265,
BONI_IPGP_100_A3,9,-46.61,22.18,0.4281,0.0175,± 0.0344,0.0212,0.225
BONI_IPGP_250,9,-53.26,11.14,0.2798,0.0290,± 0.0569,0.0204,0.284
BONI_IPGP_350_A9,10,-55.89,7.28,0.2320,0.0211,± 0.0414,0.0138,0.061
BONI_IPGP_80_1,10,-6.95,23.43,0.4949,0.0143,± 0.0281,0.0143,0.107
EC_IB_3,1,-5.19,32.24,0.5513,0.0484,± 0.0949,,
ETH-1-1100-SAM,10,1.96,36.95,0.1784,0.0217,± 0.0426,0.0295,0.563
ETH-2-1100-SAM,10,-10.22,19.99,0.1920,0.0203,± 0.0398,0.0211,0.109
F6975-B,4,-2.83,41.61,0.5254,0.0257,± 0.0505,0.0163,0.330
F6975A,1,-2.08,44.31,0.6569,0.0455,± 0.0893,,
F7304A,2,-4.71,46.87,0.6238,0.0381,± 0.0749,0.0188,
F7309A,2,-4.60,44.53,0.5625,0.0307,± 0.0603,0.0958,
F7318A,3,-4.65,46.68,0.5834,0.0283,± 0.0556,0.0281,0.562
JOHN_HT_25C,9,2.13,32.55,0.6088,0.0155,± 0.0304,0.0069,0.021
JOHN_HT_80C,9,1.08,23.46,0.4870,0.0150,± 0.0295,0.0205,0.294
KELE_AQUA_BORRA,11,1.68,30.24,0.5760,0.0140,± 0.0275,0.0548,0.104
KELE_BEL-2b,1,5.39,27.88,0.5571,0.0437,± 0.0857,,
KELE_BUK_4,9,2.17,23.60,0.5406,0.0151,± 0.0297,0.0138,0.084
KELE_Ba-2B,1,5.25,27.67,0.5580,0.0440,± 0.0864,,
KELE_CANARIAN,8,0.12,28.56,0.5835,0.0160,± 0.0314,0.0169,0.200
KELE_E1,2,2.51,19.60,0.4885,0.0308,± 0.0604,0.0200,
KELE_GAWATUPA,8,-4.15,33.48,0.6277,0.0164,± 0.0322,0.0186,0.180
KELE_IGAL,10,0.62,25.19,0.4750,0.0143,± 0.0281,0.0168,0.139
KELE_KH_1,1,5.84,26.29,0.5327,0.0439,± 0.0862,,
KELE_LAPIGNA,8,-11.43,33.39,0.6183,0.0163,± 0.0321,0.0193,0.273
KELE_LA_PIGNA,1,-11.45,33.42,0.6444,0.0457,± 0.0897,,
KELE_NG_2,9,3.56,13.63,0.5050,0.0153,± 0.0300,0.0105,0.053
KELE_P5_SUMMER,9,5.45,24.38,0.6327,0.0155,± 0.0305,0.0240,0.349
KELE_P5_WINTER,10,5.13,25.95,0.6355,0.0155,± 0.0304,0.0178,0.148
