year	first	second	
1979	180	1085
1980	194	1171
1981	211	1274	
1982	230	1388
1983	254	1528
1984	267	1612
1985	280	1691
1986	297	1790
1987	310	1866
1988	319	1922
1989	339	2044
1990	356	2145
1991	370	2230
1992	387	2333
1993	401	2420
1994	422	2545
1995	426	2567
1996	437	2635
1997	455	2741
1998	477	2875
1999	505	3043
2000	531	3202
2001	561	3381
2002	592	3567
2003	606	3653
2004	612	3689
2005	627	3779
2006	656	3955
2007	680	4100
2008	711	4288
2009	744	4483
2010	761	4586
2011	749	4517
2012	767	4624
2013	791	4768
2014	816	4917
2015	826	4980
2016	856	5157
2017	885	5336
2018	895	5397
2019	926	5583
2020	960	5785
2021	996	6002
2022	1024	6172
2023	1115	6721
2024	1174	7078
2025	1226	7391
2026	1286	7749
