x,y,z,harvard-oxford,schaefer,yeo,juelich
42,-9,32,Precentral Gyrus,7Networks_RH_SomMot_18,7Networks_6,GM Primary somatosensory cortex BA3a
-46,46,11,Frontal Pole,7Networks_LH_Cont_PFCl_3,7Networks_6,GM Broca's area BA45
0,-40,42,"Cingulate Gyrus, posterior division",7Networks_LH_Default_pCunPCC_8,7Networks_7,GM Superior parietal lobule 5M
22,26,14,"Cingulate Gyrus, anterior division",7Networks_RH_Default_PFCdPFCm_6,7Networks_6,WM Superior occipito-frontal fascicle
14,27,56,Superior Frontal Gyrus,7Networks_RH_Default_PFCdPFCm_11,7Networks_7,GM Premotor cortex BA6
39,43,-37,Frontal Medial Cortex,7Networks_RH_Default_PFCv_2,7Networks_5,WM Inferior occipito-frontal fascicle
-58,-39,-8,"Middle Temporal Gyrus, posterior division",7Networks_LH_Cont_Temp_1,7Networks_7,WM Acoustic radiation
-59,27,47,Middle Frontal Gyrus,7Networks_LH_Default_PFC_17,7Networks_7,GM Broca's area BA44
-31,-23,-59,"Temporal Fusiform Cortex, anterior division",7Networks_LH_Limbic_TempPole_1,7Networks_5,GM Hippocampus entorhinal cortex
3,-1,-40,"Inferior Temporal Gyrus, anterior division",7Networks_RH_Limbic_TempPole_1,7Networks_5,GM Hippocampus entorhinal cortex
